"","Gene"
"846","ENSMUSG00000017670"
"847","ENSMUSG00000017677"
"848","ENSMUSG00000017686"
"849","ENSMUSG00000017697"
"850","ENSMUSG00000017707"
"851","ENSMUSG00000017715"
"852","ENSMUSG00000017721"
"853","ENSMUSG00000017724"
"854","ENSMUSG00000017734"
"855","ENSMUSG00000017747"
"856","ENSMUSG00000017754"
"857","ENSMUSG00000017760"
"858","ENSMUSG00000017764"
"859","ENSMUSG00000017765"
"860","ENSMUSG00000017774"
"861","ENSMUSG00000017776"
"862","ENSMUSG00000017781"
"863","ENSMUSG00000017801"
"864","ENSMUSG00000017817"
"865","ENSMUSG00000017831"
"866","ENSMUSG00000017837"
"867","ENSMUSG00000017843"
"868","ENSMUSG00000017858"
"869","ENSMUSG00000017861"
"870","ENSMUSG00000017929"
"871","ENSMUSG00000017999"
"872","ENSMUSG00000018001"
