pos	Md	Mn	gt
180	1.44642798068235	2.280435293067	ODMSO
181	1.38641022214781	2.25662836130428	ODMSO
182	1.38641022214781	2.22374623165186	ODMSO
183	1.32639246361327	2.18791775522483	ODMSO
184	1.26637470507874	2.16626997835038	ODMSO
185	1.26637470507874	2.14678135636418	ODMSO
186	1.26637470507874	2.11704799425713	ODMSO
187	1.26637470507874	2.08334493592323	ODMSO
188	1.26637470507874	2.05047405186918	ODMSO
189	1.2063569465442	2.02166282882899	ODMSO
190	1.2063569465442	2.0110582295601	ODMSO
191	1.14633918800966	1.98583435240197	ODMSO
192	1.14633918800966	1.96929207719037	ODMSO
193	1.14633918800966	1.93962618867358	ODMSO
194	1.14633918800966	1.91400871557227	ODMSO
195	1.14633918800966	1.88773899776514	ODMSO
196	1.08632142947512	1.86585506332478	ODMSO
197	1.08632142947512	1.85499181529323	ODMSO
198	1.08632142947512	1.83959659111602	ODMSO
199	1.02630367094059	1.82792366000137	ODMSO
200	1.02630367094059	1.81029056174727	ODMSO
1	0.607955125681988	1.19204300535673	DIAA
2	0.607955125681988	1.16565710524822	DIAA
3	0.607955125681988	1.12128081870209	DIAA
4	0.553184393638566	1.07050795031147	DIAA
5	0.607955125681988	1.07010816394619	DIAA
6	0.607955125681988	1.08729897765325	DIAA
7	0.607955125681988	1.15286394155925	DIAA
8	0.607955125681988	1.16165924159542	DIAA
9	0.607955125681988	1.14846629154116	DIAA
10	0.553184393638566	1.1128853050312	DIAA
11	0.66272585772541	1.07490560032956	DIAA
12	0.607955125681988	1.0249323046695	DIAA
13	0.66272585772541	1.01853572282502	DIAA
14	0.66272585772541	1.03492696380151	DIAA
15	0.66272585772541	1.04612098202937	DIAA
16	0.66272585772541	1.06571051392811	DIAA
17	0.66272585772541	1.06131286391002	DIAA
18	0.66272585772541	1.08530004582685	DIAA
19	0.607955125681988	1.06690987302395	DIAA
20	0.66272585772541	1.07010816394619	DIAA
21	0.66272585772541	1.04891948658633	DIAA
22	0.717496589768833	1.0617126502753	DIAA
23	0.717496589768833	1.11608359595345	DIAA
24	0.717496589768833	1.17765069620664	DIAA
25	0.772267321812255	1.18804514170393	DIAA
26	0.772267321812255	1.20003873266234	DIAA
27	0.827038053855677	1.23442036007646	DIAA
28	0.8818087858991	1.31397784676727	DIAA
29	0.8818087858991	1.3727464424635	DIAA
30	0.827038053855677	1.39193618799696	DIAA
31	0.8818087858991	1.46149901555576	DIAA
32	0.827038053855677	1.55185073410914	DIAA
33	0.8818087858991	1.66259155729183	DIAA
34	0.991350249985944	1.73655203486871	DIAA
35	1.04612098202937	1.84449435349444	DIAA
36	1.15566244611621	1.95603474940768	DIAA
37	1.21043317815963	2.15832665023959	DIAA
38	1.26520391020306	2.34262816463388	DIAA
39	1.31997464224648	2.52533053356705	DIAA
40	1.64859903450701	2.82956795754548	DIAA
41	2.03199415881097	3.31930625501403	DIAA
42	2.25107708698466	3.88060631186779	DIAA
43	2.74401367537546	4.60901706940878	DIAA
