"","Gene","Rate01","Rate10","Eject","Decay","Rate01Mean","Rate10Mean","EjectMean","Rate01SD","Rate10SD","EjectSD","Rate01Median","Rate10Median","EjectMedian","Rate01MAD","Rate10MAD","EjectMAD","Model","Condition","Expression","Variance","ThirdMoment","BurstMean","BurstSD","BurstMedian","BurstMAD","HK","HK_new","HK_both","TF","Type"
"390","SLTM",0.00286610668131817,0.00379462491120378,0.0148449238570808,0.00161270780851897,0.00302553978401256,0.00517084012959639,0.0165142012940336,0.000572344125227302,0.0044677006894315,0.00536752520359745,0.00297138462407202,0.0041891084636292,0.0153870377964098,0.000365449323000949,0.00132592891131106,0.00185685515909935,2,"HCTDMSOr1",7.92150866462793,16.0019940542063,32.2496789144044,3.84331233438516,1.21039836338308,3.67570306101895,1.11800882372841,"yes","yes","yes","no","HK"
"391","SMAD2",0.00541410839950703,0.0283294129552347,0.01384575370923,0.00279688561034741,0.00482411795385391,0.0514103630867406,0.0208974339965627,0.00150871083518714,0.151437566906555,0.0482940467677414,0.00486569911934222,0.0178016616798581,0.0101927124090051,0.00104204718051581,0.012888485669275,0.00460643516469326,2,"HCTDMSOr1",1.58853373921867,2.08995477549789,3.19693856170312,0.801455402330192,0.774248117446083,0.579404340416184,0.270637978391019,"yes","yes","yes","no","HK"
"392","SMARCB1",0.00357551284245399,0.00426805422585311,0.0060094986339075,0.00129439261948953,0.00444584691951208,0.0247877148027295,0.0137746466922622,0.00161305791560267,0.0813499909744501,0.029662353898714,0.00433023165110678,0.00748573711621154,0.00745583392097359,0.001195510756751,0.00537082083121945,0.00252067993024041,2,"HCTDMSOr1",4.23304436511984,5.73712326626223,8.22161370727708,1.42081940737677,1.36631181890161,0.998449549424442,0.665374409436902,"yes","yes","yes","no","HK"
"393","SMC1A",0.000950995157457096,0.00226913412792862,0.00929925765665493,0.000948287115584818,0.000984612235266771,0.00281332253861075,0.0102971678104978,0.000120724379636378,0.00274586712075705,0.0048583355371843,0.000977529040997489,0.00247891985638875,0.00970743137854815,7.71107308310546e-05,0.000575204474652302,0.00112953055334818,2,"HCTDMSOr1",5.79173047473201,14.8438111453245,41.1488118067894,3.98025879021949,0.73521879210638,3.91753175093111,0.70832224507136,"yes","yes","yes","no","HK"
"394","SMU1",0.00360937290406331,0.00516030895889522,0.00664075824770862,0.00157624142241706,0.004249041188011,0.0265381625977931,0.0151285556805865,0.00151068802528091,0.0739639160430328,0.0290717367653125,0.00416628115594984,0.00793369003211141,0.00791274726368663,0.00111849113583419,0.00562474950917062,0.00272396417540202,2,"HCTDMSOr1",3.4677828513445,4.77559828059887,7.49920973208546,1.40787982163649,1.41647037487167,1.00059338336332,0.635867170327548,"yes","yes","yes","no","HK"
"395","SNRNP70",0.00289645549156028,0.00343974815679626,0.0133747451551302,0.00152675257624896,0.00308734726247504,0.00488488199898065,0.0149811474928802,0.000610893692574818,0.00603070837371382,0.00633746142642747,0.00302286818183004,0.00385165486022836,0.0139060537607954,0.000388328679319662,0.00123821594573627,0.0016107488505026,2,"HCTDMSOr1",8.00918367346939,15.3805279050396,28.4895152933726,3.78305342921344,1.25217957153098,3.61100757219329,1.15507115588403,"yes","yes","yes","no","HK"
"396","SNRPA",0.00270004663448402,0.00185612073289589,0.00635133680530258,0.00172629243470279,0.00341962842712208,0.00790931020915267,0.00928029869586087,0.00143932453755154,0.0590465868310798,0.025852695545774,0.00315220773049743,0.00259575879826626,0.00686596255683235,0.000859443663750184,0.00144084601997496,0.00104075214643075,2,"HCTDMSOr1",4.3604473817997,6.13698159954449,8.26107026761619,3.35785531623811,2.74767466577637,2.64620915695985,1.74273079576109,"yes","yes","yes","no","HK"
"397","SNRPB",0.00145325889868557,0.00111279631283942,0.0252896092817259,0.000824635585161482,0.00148811834260465,0.00126354124749007,0.0259010339349085,0.00023187013194638,0.00170132617142933,0.00538196994563421,0.00147364613860345,0.00114944630725078,0.0254906191772802,9.76950589780905e-05,0.000156795546921419,0.000843481693111239,2,"HCTDMSOr1",34.7263910158244,147.805689425463,166.129491864115,22.380043062198,3.70790122204966,22.1782689515626,3.46654411932225,"yes","yes","yes","no","HK"
"398","SNRPC",0.00204711019604124,0.00233585694100135,0.00667197233037945,0.000656287399027301,0.00241466599859601,0.010543945783252,0.012952819284019,0.000651560657662367,0.0863117169659311,0.0635381022106796,0.0023194808094284,0.00334532799741693,0.00761181344821138,0.000424410483019911,0.0016441213779228,0.00154202600282235,2,"HCTDMSOr1",9.49643947100712,16.1797940367736,27.8876021177588,2.52029695777525,1.24735351305773,2.27649694619247,1.09688892271361,"yes","yes","yes","no","HK"
"399","SNRPD3",0.00161375877894696,0.00173807195804327,0.0133942456930044,0.000753551571400466,0.00167826289078293,0.00213670969318145,0.0142284994421569,0.00024739931199502,0.00258064669095649,0.0048354442172749,0.00165618306538135,0.0018600634493171,0.013690068956606,0.00014781351126271,0.000405866086137072,0.000992279754875525,2,"HCTDMSOr1",17.1132653061224,46.1514566847149,92.5093274507224,7.50401398404583,1.73057898613398,7.36184581710539,1.64334919072288,"yes","yes","yes","no","HK"
"400","SNRPG",0.00101678827395244,0.000996773758898979,0.0126098674640018,0.000505712134403512,0.00105234046140698,0.00130513383285087,0.0135166582341941,0.00016721028279528,0.00314604081838579,0.00848290755102485,0.00103866602723335,0.00105109171528655,0.01281260173627,7.8766201071264e-05,0.000186216567209718,0.000687579152161099,2,"HCTDMSOr1",25.1782985226694,88.0008127952451,174.380040722302,12.3297775518925,2.42446688155513,12.1902863256513,2.28344916143119,"yes","yes","yes","no","HK"
"401","SNX3",0.00128420860938685,0.00208025786365672,0.00401263878617626,0.000326330206504105,0.00161719510013048,0.0157808941160475,0.0136381466394915,0.000383457497874406,0.0375071371491595,0.0258504836663238,0.00161818215139122,0.00501238406671769,0.00625604426597719,0.000291606026659047,0.003367263318055,0.00258208433353844,2,"HCTDMSOr1",9.38625954198474,15.6874447875997,29.744248409873,1.48517953282271,0.787633603726959,1.2518545486224,0.583502312411799,"yes","yes","yes","no","HK"
"402","SNX9",0.00235565729110292,0.00400693458136404,0.00591321295724469,0.00166723648976966,0.00278093193194192,0.0163038194882659,0.0120506520216143,0.000868846818507761,0.0380273944494384,0.0186706270358098,0.00272264853807391,0.00613701601844174,0.00711492879514796,0.000628046618850478,0.00384114402049317,0.00223193146423521,2,"HCTDMSOr1",2.62614445574771,3.83937750507354,6.44738395480354,1.42809575111148,0.969708355228379,1.16151379903576,0.622678024039968,"yes","yes","yes","no","HK"
"403","SPAG7",0.00765747672780359,0.0698172058286548,0.027696161272544,0.00170961915778017,0.00620679850144545,0.0532058151438575,0.0218179239998351,0.001740427158114,0.123924577020471,0.0395180035276742,0.00619995890389022,0.0195560101701226,0.0112487506389904,0.00121638045307831,0.0136962688895551,0.00484407843431373,2,"HCTDMSOr1",3.20213306246826,4.20698376898814,6.35175215104163,0.749081156025876,0.590441127375683,0.580592924971848,0.272290905399377,"yes","yes","yes","no","HK"
"404","SPAG9",0.00159864879821078,0.00383408175244569,0.00906662003926836,0.00160533572056399,0.0017440028637516,0.0082307515465971,0.013423478426986,0.00038179579535116,0.0166073277976126,0.0161746641421539,0.00171456009464854,0.00475195444683449,0.010060740213992,0.000255459340348682,0.00204013628081843,0.00223134899507443,2,"HCTDMSOr1",4.98572157062723,9.49495165934604,20.5801028290894,2.26359644725047,0.823645821538694,2.11802384594716,0.714167816594662,"yes","yes","yes","no","HK"
"405","SPCS3",0.00123084017684973,0.00113848113344,0.00471863590676713,0.000814659301057277,0.00143896966359919,0.00285172736609497,0.00617425372991995,0.000410763570941989,0.0116047017558344,0.0089211072575995,0.00137390133583979,0.00147327889556934,0.00508216858994683,0.000239665222517499,0.000581576054808825,0.000636940960852391,2,"HCTDMSOr1",6.01779359430605,10.3103087057444,18.7882086957178,3.72110976165048,1.66038572576649,3.449716928843,1.47525947724563,"yes","yes","yes","no","HK"
"406","SRM",0.000858469362873547,0.0015965103981922,0.00996303534163525,0.00054184393048316,0.000890103584925588,0.00200051112316769,0.0109733763771585,0.000109852688276055,0.00225139043550328,0.0052101910442867,0.000882615138535086,0.00174161009911308,0.0103576388190082,6.4709442902497e-05,0.000371496994568944,0.00101347113551682,2,"HCTDMSOr1",12.8576530612245,40.703716940858,126.405951203633,6.02271775550278,1.10372060200616,5.94847168299655,1.06152138605783,"yes","yes","yes","no","HK"
"407","SRP19",0.0159582581018514,0.396649219680343,0.154963353337087,0.0030204320264294,0.0111885211417144,0.0743460302322986,0.0373747719857065,0.00332674340961037,0.18415458722564,0.066787861479198,0.0111608437748028,0.0278011060287928,0.0207595087246832,0.00238408666400869,0.0190897830389846,0.00794912006138499,2,"HCTDMSOr1",3.96847991865785,5.38894039397905,8.982412054521,0.998963888431851,0.84432701819356,0.752025936260678,0.390440251364489,"yes","yes","yes","no","HK"
"408","SRPRB",0.00221932310246393,0.00301736490847957,0.00383124522526674,0.00137284769005375,0.00297456431329999,0.0247482998486208,0.0115466709849645,0.0010628822432586,0.0801445522581861,0.0276835474162528,0.00294106421300614,0.00690579369207863,0.00541862675933117,0.000790892524903303,0.00512693405578937,0.00214520850339253,2,"HCTDMSOr1",2.36515997968512,3.14598779817491,4.51560769801811,1.11881075141003,1.03223582598599,0.78691206507118,0.48093717802987,"yes","yes","yes","no","HK"
"409","SRRM1",0.0068801069945769,0.00642300338359659,0.0783750013227553,0.00383253015545503,0.00692836062981028,0.00672617099178226,0.079257678535024,0.000784803440785319,0.00190671598440186,0.00611240000553109,0.00688141268631756,0.00643699045755665,0.0784630290974473,0.000515379585085535,0.00106639573056143,0.0036784639898666,2,"HCTDMSOr1",21.1471640265713,68.0723642107037,125.489647436762,12.3555687617572,2.25678458594774,12.188546767544,2.19814169827124,"yes","yes","yes","no","HK"
"410","SRSF1",0.00310544026606716,0.0255807677271435,0.0386527285490877,0.00224932092781486,0.0030285767293842,0.041990931323431,0.0572506892919475,0.000398520073208252,0.071443103819055,0.0816286074337896,0.00304141893387349,0.0227818324335258,0.0354159724197302,0.000277839535620622,0.0114694646786119,0.0134492618398395,2,"HCTDMSOr1",5.58095723014257,11.780105804688,32.873012949867,1.63311080325783,0.366113440695412,1.55855271746464,0.325340297769416,"yes","yes","yes","no","HK"
"411","SRSF11",0.00292306816578213,0.00234321445661588,0.019061487424141,0.00178366187965307,0.00301140491151754,0.00265269734255476,0.0195810408522213,0.000479262073814375,0.00154196217106552,0.00248169421253815,0.00297423800932169,0.0024379060270938,0.0192550456134481,0.000304374671471788,0.000538809987199479,0.00110258401426241,2,"HCTDMSOr1",11.8626149131767,26.0970599650892,38.9542414075214,8.13401991078611,2.07947786646151,7.89907248777467,1.96587397101653,"yes","yes","yes","no","HK"
"412","SRSF2",0.0024976461226952,0.00248692373478574,0.0352777929190458,0.00268121333650786,0.00253688610512667,0.00269995864949686,0.0359197650038552,0.000418186747441483,0.00137398553057608,0.00407029606287951,0.00251901329515299,0.00253438340784353,0.0354562041623575,0.000266847050315298,0.000531556594919685,0.00195059959356058,2,"HCTDMSOr1",19.777721001533,65.3818644024867,146.10517399329,14.4814823263299,3.5573147625999,13.9927005175661,3.25665160936177,"yes","yes","yes","no","HK"
